Rank,Athletic-Vecenie,Tankathon,Rookie-Wire-Kalbrosky,Ringer-OConnor,NBCSportsNorthwest-Mickanen,Adam-Spinella,ESPN-Givony,CBS-Boone,CBS-Parrish,SI-Woo,NBADraftNet,NBCSports-Forsberg-Snyder,Yahoo-Peek,BR-Wasserman,NetScouts,SBNation-ODonnell,BabcockHoops
20,Tyrese Maxey,Cole Anthony,Jalen Smith,Desmond Bane,Desmond Bane,Cole Anthony,Kira Lewis,Precious Achiuwa,Tre Jones,RJ Hampton,Tyrese Maxey,Josh Green,Tyrell Terry,Jaden McDaniels,Paul Reed,Desmond Bane,Malachi Flynn
21,Desmond Bane,Tyrell Terry,Desmond Bane,Cole Anthony,Tyrell Terry,Desmond Bane,Nico Mannion,Grant Riller,Theo Maledon,Cole Anthony,Jaden McDaniels,Cole Anthony,Kira Lewis,Tyrell Terry,Theo Maledon,Tyrell Terry,Elijah Hughes
22,Josh Green,Tyrese Maxey,Precious Achiuwa,Tyrese Maxey,Josh Green,Kira Lewis,Aleksej Pokusevski,Xavier Tillman,Isaiah Stewart,Jaden McDaniels,Josh Green,Jaden McDaniels,Aleksej Pokusevski,Aleksej Pokusevski,Tyrese Maxey,Paul Reed,Jalen Smith
23,Jaden McDaniels,Theo Maledon,Devon Dotson,Jaden McDaniels,Cole Anthony,Tyrell Terry,Josh Green,Leandro Bolmaro,Josh Green,Vernon Carey,Nico Mannion,Tyrese Maxey,Theo Maledon,Tyrese Maxey,Aleksej Pokusevski,Malachi Flynn,Leandro Bolmaro
24,Theo Maledon,Isaiah Stewart,Malachi Flynn,Malachi Flynn,Isaiah Stewart,Josh Green,Leandro Bolmaro,Josh Green,Nico Mannion,Jalen Smith,Aleksej Pokusevski,Jahmius Ramsey,Jahmius Ramsey,Jahmius Ramsey,Leandro Bolmaro,Theo Maledon,Cassius Stanley
25,Isaiah Stewart,Leandro Bolmaro,Cassius Stanley,Aleksej Pokusevski,Leandro Bolmaro,Jaden McDaniels,Jaden McDaniels,Aleksej Pokusevski,Jaden McDaniels,Isaiah Stewart,RJ Hampton,Aleksej Pokusevski,Nico Mannion,Leandro Bolmaro,Tyler Bey,Leandro Bolmaro,Jaden McDaniels
26,Leandro Bolmaro,Desmond Bane,Aleksej Pokusevski,Leandro Bolmaro,Paul Reed,Theo Maledon,Robert Woodard,Isaiah Stewart,Leandro Bolmaro,Leandro Bolmaro,Jahmius Ramsey,Malachi Flynn,Saddiq Bey,Zeke Nnaji,Josh Green,Xavier Tillman,Jay Scrubb
27,Tre Jones,Tyler Bey,Josh Green,Isaiah Stewart,Theo Maledon,Leandro Bolmaro,Isaiah Stewart,Jahmius Ramsey,Vernon Carey,Malachi Flynn,Kira Lewis,Leandro Bolmaro,Jalen Smith,Nico Mannion,Devon Dotson,Precious Achiuwa,Cole Anthony
28,Malachi Flynn,Tre Jones,Grant Riller,Jahmius Ramsey,Jahmius Ramsey,Malachi Flynn,Tyler Bey,Cassius Winston,Cassius Winston,Josh Green,Leandro Bolmaro,Isaiah Stewart,Tre Jones,Cassius Winston,Jaden McDaniels,Grant Riller,Tyrese Maxey
29,Xavier Tillman,Malachi Flynn,Vernon Carey,Zeke Nnaji,Jaden McDaniels,Zeke Nnaji,Cassius Winston,Jaden McDaniels,Malachi Flynn,Jahmius Ramsey,Zeke Nnaji,Zeke Nnaji,Elijah Hughes,Daniel Oturu,Robert Woodard,Devon Dotson,Tyrell Terry
